"","Business Id","Name","Address","City","Postal Code","State","Latitude","Longitude","Review Count","Stars","Categories","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Alcohol","Ambience","Bike Parking","Business Accepts Credit Cards","Business Parking","Dietary Restrictions","Dogs Allowed","Drive Thru","Good For Kids","Good For Meal","Happy Hour","Has TV","Music","Noise Level","Outdoor Seating","Restaurants Attire","Restaurants Delivery","Restaurants Good For Groups","Restaurants Reservations","Restaurants Table Service","Restaurants Take Out","RestaurantsPriceRange2","Smoking","Wheelchair Accessible","Wi Fi","WeightedStar"
"1","zVwnTKz7JIOoN-MbbQMzYA","Eat This Shoot That!","200 Stearns Wharf","Santa Barbara",93101,"CA",34.409215,-119.685157,80,5,"Wine Tours, Food Tours, Tours, Restaurants, Food, Arts & Entertainment, Hotels & Travel, Walking Tours","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0",NA,NA,NA,TRUE,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,"u'quiet'",NA,NA,"FALSE",NA,"TRUE",NA,NA,NA,NA,NA,NA,400
"2","G9rBwcWp56C8r6ZFwVuimA","Belmond El Encanto Dining Room","800 Alvarado Pl","Santa Barbara",93103,"CA",34.439548,-119.703871,224,3,"Seafood, Nightlife, Hotels, Event Planning & Services, American (New), Bars, Diners, Restaurants, Hotels & Travel, Breakfast & Brunch","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","u'full_bar'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",FALSE,TRUE,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",NA,NA,NA,FALSE,"{u'breakfast': False, u'brunch': None, u'lunch': None, u'dinner': None, u'latenight': False, u'dessert': True}",NA,FALSE,NA,"u'quiet'","TRUE","'dressy'","FALSE",TRUE,"TRUE",TRUE,"FALSE",3,NA,TRUE,"u'free'",672
"3","gO3TIUbgD5fZiJuezx0kFA","The Manor Bar","1759 S Jameson Ln","Montecito",93108,"CA",34.420769,-119.629177,7,4.5,"American (New), Nightlife, Hotels, Event Planning & Services, Restaurants, Hotels & Travel, Bars","16:0-23:0","16:0-23:0","16:0-23:0","16:0-23:0","16:0-0:0","16:0-0:0","16:0-23:0","u'full_bar'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NA,TRUE,"None",NA,NA,NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,FALSE,NA,NA,"FALSE",NA,"FALSE",NA,"TRUE",NA,"FALSE",NA,NA,NA,"u'free'",31.5
"4","25Uww0C0wvF9CZ_3B6vWtA","Enjoy The Mountain","1 Garden St","Santa Barbara",93105,"CA",34.41434201,-119.6873325,48,4.5,"Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0",NA,NA,TRUE,TRUE,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"u'free'",216
"5","lNECraPTMtUPDJPjmF0tVA","Crocodile Restaurant & Bar","2819 State St","Santa Barbara",93105,"CA",34.438204,-119.725019,119,4,"Hotels & Travel, Event Planning & Services, American (New), Italian, Hotels, Restaurants, Pizza, Breakfast & Brunch, Bars, Nightlife","8:30-21:30","8:30-21:30","8:30-21:30","8:30-21:30","8:30-21:30","8:30-21:30","8:30-21:30","u'full_bar'","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",TRUE,TRUE,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,TRUE,"{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': None}",TRUE,TRUE,"{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}","u'average'","TRUE","u'casual'","TRUE",TRUE,"TRUE",NA,"TRUE",2,NA,NA,"u'free'",476
"6","iXkQGJF88zOeXtHMjBmeZg","Miramar Beach Bar","1773 S Jameson Ln","Montecito",93108,"CA",34.4207152,-119.6254582,46,3.5,"Nightlife, Active Life, Bars, Hotels & Travel, Beaches, Lounges","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:30","11:0-20:30","11:0-20:30",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NA,NA,"None",NA,TRUE,NA,NA,NA,NA,NA,"{u'dj': False, u'live': None, u'jukebox': None, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}",NA,"TRUE",NA,NA,NA,"FALSE",NA,NA,NA,NA,TRUE,NA,161
"7","1wvYBjX6radqmb_k0Fv_Ug","Palihouse Santa Barbara","915 Garden St","Santa Barbara",93101,"CA",34.4239925,-119.6979304,7,4,"Hotels & Travel, Event Planning & Services, Cafes, Restaurants, Hotels","8:0-15:0","8:0-15:0","8:0-22:0","8:0-22:0","8:0-22:0","8:0-22:0","8:0-22:0","u'full_bar'",NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"u'free'",28
"8","v1Uesklh8DpEufYOhTq4iA","Mar Monte Hotel - Hyatt","1111 E Cabrillo Blvd","Santa Barbara",93103,"CA",34.4176898,-119.6685252,767,2.5,"Hotels, Restaurants, Beauty & Spas, Hotels & Travel, Day Spas, Event Planning & Services","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","u'full_bar'","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,TRUE,"{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': True}",NA,NA,NA,TRUE,NA,NA,TRUE,NA,"u'average'","TRUE","u'casual'",NA,TRUE,"TRUE",NA,NA,3,NA,NA,"u'free'",1917.5
"9","EloAb5ynqtruhIR6NzhiPA","Private Car Transportation",NA,"Santa Barbara",93101,"CA",34.420334,-119.7107494,6,5,"Tours, Airport Shuttles, Limos, Town Car Service, Wine Tours, Taxis, Hotels & Travel, Transportation","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0","6:0-6:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"u'free'",30
"10","TvBxBjed-iX6_22SwEYEFQ","Santa Barbara Wine Country Tours","32 E Haley St","Santa Barbara",93101,"CA",34.4176801,-119.6943553,23,5,"Wine Tours, Tours, Cupcakes, Food, Hotels & Travel","0:0-0:0","8:0-17:0","8:0-17:0","8:0-14:0","8:0-17:0","8:0-17:0","8:0-17:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"u'no'",115
